Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,0.00,30.00,0.00,9.7391e-08,2.0998e-07,7.0551e-07,2.9689e-06,7.3502e-06,7.3378e-06,5.7275e-06,9.3662e-08,1.9084e-07,5.1447e-07,2.9995e-06,5.9949e-06,7.2475e-06,6.5899e-06
P0,60.00,0.00,60.00,0.00,1.2398e-07,2.0999e-07,7.0551e-07,2.9720e-06,7.3505e-06,7.3382e-06,5.7275e-06,1.1973e-07,1.9084e-07,5.1447e-07,3.0030e-06,5.9956e-06,7.2479e-06,6.5900e-06
P0,0.00,135.00,30.00,0.00,6.1790e-08,2.5387e-07,8.4456e-07,3.1359e-06,7.4476e-06,7.4350e-06,6.4634e-06,5.9345e-08,2.3113e-07,6.1737e-07,3.1499e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,0.00,90.00,30.00,0.00,6.1790e-08,2.5387e-07,8.4456e-07,3.1359e-06,7.4476e-06,7.4350e-06,6.4634e-06,5.9345e-08,2.3113e-07,6.1737e-07,3.1499e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,60.00,135.00,60.00,0.00,4.6604e-08,2.0996e-07,7.0550e-07,2.9667e-06,7.3500e-06,7.3376e-06,5.7275e-06,4.4980e-08,1.9084e-07,5.1447e-07,2.9971e-06,5.9945e-06,7.2473e-06,6.5898e-06
P0,60.00,180.00,0.00,0.00,7.6449e-08,2.0997e-07,7.0551e-07,2.9676e-06,7.3501e-06,7.3377e-06,5.7275e-06,7.3411e-08,1.9084e-07,5.1447e-07,2.9981e-06,5.9947e-06,7.2474e-06,6.5899e-06
P0,0.00,180.00,30.00,0.00,6.1790e-08,2.5387e-07,8.4456e-07,3.1359e-06,7.4476e-06,7.4350e-06,6.4634e-06,5.9345e-08,2.3113e-07,6.1737e-07,3.1499e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,0.00,90.00,0.00,0.00,6.6123e-08,2.5387e-07,8.4456e-07,3.1360e-06,7.4476e-06,7.4350e-06,6.4634e-06,6.3429e-08,2.3113e-07,6.1737e-07,3.1500e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,60.00,90.00,60.00,0.00,5.9958e-08,2.0997e-07,7.0550e-07,2.9674e-06,7.3500e-06,7.3377e-06,5.7275e-06,5.7820e-08,1.9084e-07,5.1447e-07,2.9979e-06,5.9946e-06,7.2474e-06,6.5899e-06
P0,0.00,135.00,60.00,0.00,4.3369e-08,2.5386e-07,8.4456e-07,3.1357e-06,7.4476e-06,7.4350e-06,6.4634e-06,4.1933e-08,2.3113e-07,6.1736e-07,3.1497e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,30.00,45.00,0.00,0.00,6.9723e-08,2.4409e-07,8.1517e-07,3.1095e-06,7.4350e-06,7.4224e-06,6.3202e-06,6.6876e-08,2.2210e-07,5.9490e-07,3.1270e-06,6.0620e-06,7.3219e-06,7.0534e-06
P0,0.00,135.00,0.00,0.00,6.6123e-08,2.5387e-07,8.4456e-07,3.1360e-06,7.4476e-06,7.4350e-06,6.4634e-06,6.3429e-08,2.3113e-07,6.1737e-07,3.1500e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,0.00,45.00,0.00,0.00,6.6123e-08,2.5387e-07,8.4456e-07,3.1360e-06,7.4476e-06,7.4350e-06,6.4634e-06,6.3429e-08,2.3113e-07,6.1737e-07,3.1500e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,0.00,45.00,60.00,0.00,4.3369e-08,2.5386e-07,8.4456e-07,3.1357e-06,7.4476e-06,7.4350e-06,6.4634e-06,4.1933e-08,2.3113e-07,6.1736e-07,3.1497e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,0.00,0.00,60.00,0.00,4.3369e-08,2.5386e-07,8.4456e-07,3.1357e-06,7.4476e-06,7.4350e-06,6.4634e-06,4.1933e-08,2.3113e-07,6.1736e-07,3.1497e-06,6.0705e-06,7.3324e-06,7.1583e-06
P0,0.00,0.00,0.00,0.00,6.6123e-08,2.5387e-07,8.4456e-07,3.1360e-06,7.4476e-06,7.4350e-06,6.4634e-06,6.3429e-08,2.3113e-07,6.1737e-07,3.1500e-06,6.0705e-06,7.3324e-06,7.1583e-06
