Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,0.00,180.00,55.00,0.00,6.2757e-07,8.3758e-07,9.6069e-07,6.0472e-09,6.7036e-07,2.7185e-07,6.3857e-07,8.3682e-07,9.6219e-07,3.6321e-09,6.7405e-07,2.7190e-07
P0,60.00,45.00,0.00,0.00,1.0695e-06,1.4136e-06,1.6308e-06,1.0305e-08,1.1484e-06,4.6790e-07,1.0884e-06,1.4117e-06,1.6339e-06,6.4219e-09,1.1546e-06,4.6816e-07
P0,30.00,180.00,55.00,0.00,6.4817e-07,8.3800e-07,9.5229e-07,6.3779e-09,6.6205e-07,2.6797e-07,6.5971e-07,8.3734e-07,9.5392e-07,4.0612e-09,6.6564e-07,2.6805e-07
P0,0.00,0.00,55.00,0.00,6.2757e-07,8.3758e-07,9.6069e-07,6.0472e-09,6.7036e-07,2.7185e-07,6.3857e-07,8.3682e-07,9.6219e-07,3.6321e-09,6.7405e-07,2.7190e-07
P0,30.00,0.00,30.00,0.00,9.9333e-07,1.3623e-06,1.5613e-06,1.0000e-08,1.0898e-06,4.4222e-07,1.0105e-06,1.3614e-06,1.5631e-06,5.7400e-09,1.0956e-06,4.4243e-07
P0,45.00,180.00,45.00,0.00,8.1976e-07,1.0550e-06,1.1948e-06,8.1660e-09,8.3240e-07,3.3788e-07,8.3437e-07,1.0543e-06,1.1967e-06,5.2263e-09,8.3679e-07,3.3799e-07
P0,30.00,0.00,60.00,0.00,5.6168e-07,7.6107e-07,8.9062e-07,5.6742e-09,6.6039e-07,2.8552e-07,5.7156e-07,7.5971e-07,8.9207e-07,3.4562e-09,6.6381e-07,2.8567e-07
P0,45.00,135.00,45.00,0.00,8.1262e-07,1.0587e-06,1.2051e-06,8.0844e-09,8.4605e-07,3.4595e-07,8.2704e-07,1.0579e-06,1.2070e-06,5.0963e-09,8.5049e-07,3.4606e-07
P0,55.00,90.00,55.00,0.00,6.6127e-07,8.6803e-07,1.0112e-06,7.0872e-09,7.4923e-07,3.2336e-07,6.7313e-07,8.6635e-07,1.0132e-06,4.7227e-09,7.5299e-07,3.2350e-07
P0,45.00,135.00,55.00,0.00,6.6089e-07,8.4781e-07,9.6717e-07,6.7488e-09,6.8552e-07,2.8362e-07,6.7276e-07,8.4689e-07,9.6896e-07,4.4565e-09,6.8910e-07,2.8373e-07
P0,60.00,90.00,55.00,0.00,6.6495e-07,8.6650e-07,1.0149e-06,7.4178e-09,7.5859e-07,3.2995e-07,6.7698e-07,8.6449e-07,1.0170e-06,5.1241e-09,7.6239e-07,3.3010e-07
P0,0.00,90.00,45.00,0.00,7.9487e-07,1.0718e-06,1.2233e-06,7.7926e-09,8.4299e-07,3.3733e-07,8.0868e-07,1.0712e-06,1.2249e-06,4.5630e-09,8.4762e-07,3.3739e-07
P0,30.00,45.00,55.00,0.00,6.4455e-07,8.7289e-07,1.0126e-06,6.4122e-09,7.3508e-07,3.1127e-07,6.5583e-07,8.7171e-07,1.0141e-06,3.8336e-09,7.3890e-07,3.1136e-07
P0,0.00,0.00,30.00,0.00,9.9475e-07,1.3507e-06,1.5353e-06,1.0030e-08,1.0402e-06,4.0800e-07,1.0119e-06,1.3503e-06,1.5370e-06,5.8408e-09,1.0460e-06,4.0815e-07
P0,0.00,180.00,60.00,0.00,5.3674e-07,7.1051e-07,8.1804e-07,5.1695e-09,5.7418e-07,2.3399e-07,5.4623e-07,7.0967e-07,8.1950e-07,3.1929e-09,5.7737e-07,2.3410e-07
P0,30.00,0.00,55.00,0.00,6.5002e-07,8.8606e-07,1.0312e-06,6.5102e-09,7.5604e-07,3.2370e-07,6.6137e-07,8.8477e-07,1.0327e-06,3.8547e-09,7.5993e-07,3.2380e-07
P0,0.00,135.00,55.00,0.00,6.2757e-07,8.3758e-07,9.6069e-07,6.0472e-09,6.7036e-07,2.7185e-07,6.3857e-07,8.3682e-07,9.6219e-07,3.6321e-09,6.7405e-07,2.7190e-07
P0,55.00,180.00,45.00,0.00,8.2589e-07,1.0421e-06,1.1814e-06,8.4783e-09,8.2987e-07,3.4048e-07,8.4082e-07,1.0411e-06,1.1836e-06,5.7157e-09,8.3418e-07,3.4062e-07
P0,60.00,45.00,30.00,0.00,9.5845e-07,1.2880e-06,1.5047e-06,9.6235e-09,1.1060e-06,4.7195e-07,9.7539e-07,1.2857e-06,1.5074e-06,5.9703e-09,1.1117e-06,4.7224e-07
P0,0.00,180.00,0.00,0.00,1.1634e-06,1.5855e-06,1.7975e-06,1.2015e-08,1.1999e-06,4.6299e-07,1.1834e-06,1.5852e-06,1.7994e-06,7.0317e-09,1.2067e-06,4.6314e-07
P0,55.00,135.00,45.00,0.00,8.1446e-07,1.0439e-06,1.1915e-06,8.3336e-09,8.4537e-07,3.4973e-07,8.2910e-07,1.0428e-06,1.1938e-06,5.5219e-09,8.4974e-07,3.4988e-07
P0,55.00,0.00,45.00,0.00,8.4099e-07,1.1551e-06,1.3637e-06,8.8243e-09,1.0488e-06,4.7068e-07,8.5573e-07,1.1527e-06,1.3657e-06,5.3262e-09,1.0539e-06,4.7088e-07
P0,30.00,135.00,60.00,0.00,5.5502e-07,7.1717e-07,8.2052e-07,5.5174e-09,5.7663e-07,2.3577e-07,5.6496e-07,7.1636e-07,8.2208e-07,3.5852e-09,5.7976e-07,2.3589e-07
P0,60.00,0.00,45.00,0.00,8.4535e-07,1.1568e-06,1.3773e-06,9.0949e-09,1.0786e-06,4.9120e-07,8.6026e-07,1.1538e-06,1.3796e-06,5.6688e-09,1.0837e-06,4.9141e-07
P0,60.00,135.00,0.00,0.00,1.0695e-06,1.4136e-06,1.6308e-06,1.0305e-08,1.1484e-06,4.6790e-07,1.0884e-06,1.4117e-06,1.6339e-06,6.4219e-09,1.1546e-06,4.6816e-07
P0,30.00,45.00,30.00,0.00,9.9184e-07,1.3552e-06,1.5509e-06,9.9479e-09,1.0781e-06,4.3540e-07,1.0090e-06,1.3544e-06,1.5527e-06,5.7366e-09,1.0839e-06,4.3560e-07
P0,60.00,0.00,0.00,0.00,1.0695e-06,1.4136e-06,1.6308e-06,1.0305e-08,1.1484e-06,4.6790e-07,1.0884e-06,1.4117e-06,1.6339e-06,6.4219e-09,1.1546e-06,4.6816e-07
