Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,0.00,30.00,0.00,7.2609e-08,2.0932e-07,6.9377e-07,2.5452e-06,6.4844e-06,6.4729e-06,5.5136e-06,6.9464e-08,1.9075e-07,5.1245e-07,2.5629e-06,5.2273e-06,6.3812e-06,6.1384e-06
P0,60.00,0.00,60.00,0.00,1.0913e-07,2.0935e-07,6.9381e-07,2.5485e-06,6.4848e-06,6.4733e-06,5.5137e-06,1.0474e-07,1.9075e-07,5.1245e-07,2.5664e-06,5.2281e-06,6.3816e-06,6.1386e-06
P0,0.00,135.00,30.00,0.00,3.9055e-08,2.5217e-07,8.1371e-07,2.7113e-06,6.6271e-06,6.6156e-06,6.1316e-06,3.7416e-08,2.3049e-07,6.0812e-07,2.7164e-06,5.3547e-06,6.5157e-06,6.6230e-06
P0,0.00,90.00,30.00,0.00,3.9055e-08,2.5217e-07,8.1371e-07,2.7113e-06,6.6271e-06,6.6156e-06,6.1316e-06,3.7416e-08,2.3049e-07,6.0812e-07,2.7164e-06,5.3547e-06,6.5157e-06,6.6230e-06
P0,60.00,135.00,60.00,0.00,3.1519e-08,2.0929e-07,6.9366e-07,2.5434e-06,6.4842e-06,6.4727e-06,5.5136e-06,3.0280e-08,1.9074e-07,5.1243e-07,2.5609e-06,5.2270e-06,6.3810e-06,6.1383e-06
P0,60.00,180.00,0.00,0.00,5.1381e-08,2.0930e-07,6.9372e-07,2.5441e-06,6.4843e-06,6.4728e-06,5.5136e-06,4.9131e-08,1.9075e-07,5.1244e-07,2.5616e-06,5.2271e-06,6.3811e-06,6.1383e-06
P0,0.00,180.00,30.00,0.00,3.9055e-08,2.5217e-07,8.1371e-07,2.7113e-06,6.6271e-06,6.6156e-06,6.1316e-06,3.7416e-08,2.3049e-07,6.0812e-07,2.7164e-06,5.3547e-06,6.5157e-06,6.6230e-06
P0,0.00,90.00,0.00,0.00,4.0990e-08,2.5218e-07,8.1373e-07,2.7114e-06,6.6271e-06,6.6156e-06,6.1316e-06,3.9244e-08,2.3049e-07,6.0812e-07,2.7165e-06,5.3547e-06,6.5157e-06,6.6230e-06
P0,60.00,90.00,60.00,0.00,4.4196e-08,2.0930e-07,6.9368e-07,2.5440e-06,6.4843e-06,6.4728e-06,5.5136e-06,4.2382e-08,1.9075e-07,5.1243e-07,2.5616e-06,5.2271e-06,6.3811e-06,6.1383e-06
P0,0.00,135.00,60.00,0.00,2.9739e-08,2.5216e-07,8.1367e-07,2.7113e-06,6.6272e-06,6.6156e-06,6.1316e-06,2.8671e-08,2.3049e-07,6.0810e-07,2.7164e-06,5.3548e-06,6.5158e-06,6.6230e-06
