Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,0.00,0.00,55.00,0.00,7.2705e-07,9.7833e-07,1.1177e-06,2.5532e-08,5.7163e-07,2.0521e-07,7.4004e-07,9.7698e-07,1.1159e-06,2.1596e-08,5.7566e-07,2.0513e-07
P0,30.00,0.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.4222e-07,NaN,NaN,NaN,NaN,NaN,4.4243e-07
P0,45.00,180.00,45.00,0.00,9.0379e-07,1.1715e-06,1.3229e-06,2.8346e-08,6.7517e-07,2.3922e-07,9.2017e-07,1.1701e-06,1.3209e-06,2.3735e-08,6.7995e-07,2.3910e-07
P0,30.00,0.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.8552e-07,NaN,NaN,NaN,NaN,NaN,2.8567e-07
P0,45.00,135.00,45.00,0.00,9.0541e-07,1.1885e-06,1.3493e-06,2.9632e-08,7.0050e-07,2.5216e-07,9.2176e-07,1.1870e-06,1.3472e-06,2.4860e-08,7.0534e-07,2.5205e-07
P0,55.00,90.00,55.00,0.00,7.2984e-07,9.6380e-07,1.1235e-06,2.4004e-08,6.5535e-07,2.5909e-07,7.4321e-07,9.6117e-07,1.1211e-06,1.9632e-08,6.5930e-07,2.5908e-07
P0,45.00,135.00,55.00,0.00,7.1812e-07,9.2413e-07,1.0516e-06,2.1976e-08,5.5814e-07,2.0474e-07,7.3127e-07,9.2258e-07,1.0498e-06,1.8178e-08,5.6193e-07,2.0466e-07
P0,60.00,90.00,55.00,0.00,7.2644e-07,9.5049e-07,1.1139e-06,2.2686e-08,6.6217e-07,2.6543e-07,7.3988e-07,9.4751e-07,1.1115e-06,1.8316e-08,6.6609e-07,2.6542e-07
P0,0.00,90.00,45.00,0.00,9.4046e-07,1.2800e-06,1.4528e-06,3.5537e-08,7.2310e-07,2.5370e-07,9.5708e-07,1.2788e-06,1.4507e-06,3.0582e-08,7.2828e-07,2.5358e-07
P0,30.00,45.00,55.00,0.00,7.5414e-07,1.0329e-06,1.1972e-06,2.9619e-08,6.6803e-07,2.5752e-07,7.6761e-07,1.0309e-06,1.1948e-06,2.5085e-08,6.7221e-07,2.5750e-07
P0,0.00,0.00,30.00,0.00,NaN,NaN,NaN,NaN,NaN,4.0800e-07,NaN,NaN,NaN,NaN,NaN,4.0815e-07
P0,0.00,180.00,60.00,0.00,NaN,NaN,NaN,NaN,NaN,2.3399e-07,NaN,NaN,NaN,NaN,NaN,2.3410e-07
P0,30.00,0.00,55.00,0.00,7.6910e-07,1.0622e-06,1.2360e-06,3.1732e-08,7.0400e-07,2.7636e-07,7.8280e-07,1.0599e-06,1.2333e-06,2.6968e-08,7.0826e-07,2.7637e-07
P0,0.00,135.00,55.00,0.00,7.2705e-07,9.7833e-07,1.1177e-06,2.5532e-08,5.7163e-07,2.0521e-07,7.4004e-07,9.7698e-07,1.1159e-06,2.1596e-08,5.7566e-07,2.0513e-07
