Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,0.00,30.00,0.00,6.8688e-08,2.1059e-07,7.0619e-07,4.2266e-06,9.2944e-06,9.2825e-06,5.9038e-06,6.8027e-08,1.9087e-07,5.1447e-07,4.3222e-06,8.0279e-06,9.2392e-06,7.2320e-06
P0,60.00,0.00,60.00,0.00,6.1393e-08,2.1059e-07,7.0619e-07,4.2262e-06,9.2943e-06,9.2824e-06,5.9038e-06,6.0830e-08,1.9087e-07,5.1447e-07,4.3218e-06,8.0278e-06,9.2391e-06,7.2320e-06
P0,0.00,135.00,30.00,0.00,5.6322e-08,2.5513e-07,8.5092e-07,4.7692e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.6051e-08,2.3122e-07,6.1766e-07,4.8387e-06,8.6435e-06,9.9457e-06,8.3486e-06
P0,0.00,90.00,30.00,0.00,5.6322e-08,2.5513e-07,8.5092e-07,4.7692e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.6051e-08,2.3122e-07,6.1766e-07,4.8387e-06,8.6435e-06,9.9457e-06,8.3486e-06
P0,60.00,135.00,60.00,0.00,6.0686e-08,2.1059e-07,7.0619e-07,4.2262e-06,9.2943e-06,9.2824e-06,5.9038e-06,6.0131e-08,1.9087e-07,5.1447e-07,4.3217e-06,8.0277e-06,9.2391e-06,7.2320e-06
P0,60.00,180.00,0.00,0.00,7.0640e-08,2.1059e-07,7.0619e-07,4.2267e-06,9.2944e-06,9.2825e-06,5.9038e-06,6.9945e-08,1.9087e-07,5.1447e-07,4.3223e-06,8.0280e-06,9.2393e-06,7.2320e-06
P0,0.00,180.00,30.00,0.00,5.6322e-08,2.5513e-07,8.5092e-07,4.7692e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.6051e-08,2.3122e-07,6.1766e-07,4.8387e-06,8.6435e-06,9.9457e-06,8.3486e-06
P0,0.00,90.00,0.00,0.00,5.7876e-08,2.5513e-07,8.5092e-07,4.7693e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.7565e-08,2.3122e-07,6.1766e-07,4.8388e-06,8.6435e-06,9.9457e-06,8.3486e-06
P0,60.00,90.00,60.00,0.00,6.0985e-08,2.1059e-07,7.0619e-07,4.2262e-06,9.2943e-06,9.2824e-06,5.9038e-06,6.0426e-08,1.9087e-07,5.1447e-07,4.3217e-06,8.0277e-06,9.2391e-06,7.2320e-06
P0,0.00,135.00,60.00,0.00,5.0956e-08,2.5513e-07,8.5092e-07,4.7690e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.0788e-08,2.3122e-07,6.1766e-07,4.8385e-06,8.6433e-06,9.9456e-06,8.3486e-06
P0,30.00,45.00,0.00,0.00,6.0090e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.9721e-08,2.2217e-07,5.9507e-07,4.7515e-06,8.5446e-06,9.8291e-06,8.1250e-06
P0,0.00,135.00,0.00,0.00,5.7876e-08,2.5513e-07,8.5092e-07,4.7693e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.7565e-08,2.3122e-07,6.1766e-07,4.8388e-06,8.6435e-06,9.9457e-06,8.3486e-06
P0,0.00,45.00,0.00,0.00,5.7876e-08,2.5513e-07,8.5092e-07,4.7693e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.7565e-08,2.3122e-07,6.1766e-07,4.8388e-06,8.6435e-06,9.9457e-06,8.3486e-06
P0,0.00,45.00,60.00,0.00,5.0956e-08,2.5513e-07,8.5092e-07,4.7690e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.0788e-08,2.3122e-07,6.1766e-07,4.8385e-06,8.6433e-06,9.9456e-06,8.3486e-06
P0,0.00,0.00,60.00,0.00,5.0956e-08,2.5513e-07,8.5092e-07,4.7690e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.0788e-08,2.3122e-07,6.1766e-07,4.8385e-06,8.6433e-06,9.9456e-06,8.3486e-06
P0,0.00,0.00,0.00,0.00,5.7876e-08,2.5513e-07,8.5092e-07,4.7693e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.7565e-08,2.3122e-07,6.1766e-07,4.8388e-06,8.6435e-06,9.9457e-06,8.3486e-06
P0,30.00,45.00,60.00,0.00,5.2749e-08,2.4518e-07,8.1932e-07,4.6756e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.2518e-08,2.2217e-07,5.9507e-07,4.7511e-06,8.5444e-06,9.8290e-06,8.1250e-06
P0,0.00,90.00,60.00,0.00,5.0956e-08,2.5513e-07,8.5092e-07,4.7690e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.0788e-08,2.3122e-07,6.1766e-07,4.8385e-06,8.6433e-06,9.9456e-06,8.3486e-06
P0,60.00,45.00,60.00,0.00,6.1275e-08,2.1059e-07,7.0619e-07,4.2262e-06,9.2943e-06,9.2824e-06,5.9038e-06,6.0714e-08,1.9087e-07,5.1447e-07,4.3218e-06,8.0277e-06,9.2391e-06,7.2320e-06
P0,30.00,90.00,0.00,0.00,6.0090e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.9721e-08,2.2217e-07,5.9507e-07,4.7515e-06,8.5446e-06,9.8291e-06,8.1250e-06
P0,30.00,135.00,0.00,0.00,6.0090e-08,2.4518e-07,8.1932e-07,4.6759e-06,9.9048e-06,9.8922e-06,6.7502e-06,5.9721e-08,2.2217e-07,5.9507e-07,4.7515e-06,8.5446e-06,9.8291e-06,8.1250e-06
P0,0.00,45.00,30.00,0.00,5.6322e-08,2.5513e-07,8.5092e-07,4.7692e-06,1.0027e-05,1.0014e-05,6.9815e-06,5.6051e-08,2.3122e-07,6.1766e-07,4.8387e-06,8.6435e-06,9.9457e-06,8.3486e-06
P0,60.00,90.00,30.00,0.00,6.8568e-08,2.1059e-07,7.0619e-07,4.2266e-06,9.2944e-06,9.2825e-06,5.9038e-06,6.7910e-08,1.9087e-07,5.1447e-07,4.3222e-06,8.0279e-06,9.2392e-06,7.2320e-06
P1,30.00,180.00,30.00,0.00,5.9646e-08,3.2444e-07,1.0660e-06,5.3198e-06,1.0593e-05,1.0579e-05,8.7087e-06,5.9586e-08,2.9439e-07,7.7750e-07,5.3581e-06,9.0776e-06,1.0476e-05,9.8179e-06
P1,0.00,45.00,60.00,0.00,5.0950e-08,3.3894e-07,1.1069e-06,5.3511e-06,1.0642e-05,1.0628e-05,8.9485e-06,5.1077e-08,3.0782e-07,8.0771e-07,5.3830e-06,9.1110e-06,1.0521e-05,9.9988e-06
P1,0.00,180.00,0.00,0.00,6.0247e-08,3.3895e-07,1.1069e-06,5.3514e-06,1.0642e-05,1.0629e-05,8.9485e-06,6.0108e-08,3.0782e-07,8.0771e-07,5.3832e-06,9.1112e-06,1.0521e-05,9.9988e-06
