Profile,VZA,VAA,SZA,SAA,fy4a_ch07_Radiance,fy4a_ch09_Radiance,fy4a_ch10_Radiance,fy4a_ch11_Radiance,fy4a_ch12_Radiance,fy4a_ch13_Radiance,fy4a_ch14_Radiance,fy4b_ch07_Radiance,fy4b_ch09_Radiance,fy4b_ch10_Radiance,fy4b_ch12_Radiance,fy4b_ch13_Radiance,fy4b_ch14_Radiance,fy4b_ch15_Radiance
P0,60.00,0.00,30.00,0.00,1.1346e-07,2.0923e-07,6.9157e-07,2.4636e-06,6.4138e-06,6.4023e-06,5.4951e-06,1.0890e-07,1.9074e-07,5.1203e-07,2.4770e-06,5.1515e-06,6.3103e-06,6.1002e-06
P0,60.00,0.00,60.00,0.00,1.4718e-07,2.0926e-07,6.9163e-07,2.4681e-06,6.4143e-06,6.4028e-06,5.4952e-06,1.4214e-07,1.9074e-07,5.1203e-07,2.4818e-06,5.1524e-06,6.3108e-06,6.1004e-06
P0,0.00,135.00,30.00,0.00,7.0022e-08,2.5188e-07,8.0820e-07,2.6381e-06,6.5297e-06,6.5182e-06,6.0902e-06,6.6916e-08,2.3037e-07,6.0637e-07,2.6408e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,0.00,90.00,30.00,0.00,7.0022e-08,2.5188e-07,8.0820e-07,2.6381e-06,6.5297e-06,6.5182e-06,6.0902e-06,6.6916e-08,2.3037e-07,6.0637e-07,2.6408e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,60.00,135.00,60.00,0.00,4.9741e-08,2.0917e-07,6.9138e-07,2.4607e-06,6.4135e-06,6.4020e-06,5.4950e-06,4.7722e-08,1.9073e-07,5.1199e-07,2.4739e-06,5.1510e-06,6.3100e-06,6.1000e-06
P0,60.00,180.00,0.00,0.00,8.7320e-08,2.0920e-07,6.9149e-07,2.4618e-06,6.4136e-06,6.4021e-06,5.4951e-06,8.3525e-08,1.9074e-07,5.1201e-07,2.4751e-06,5.1512e-06,6.3101e-06,6.1001e-06
P0,0.00,180.00,30.00,0.00,7.0022e-08,2.5188e-07,8.0820e-07,2.6381e-06,6.5297e-06,6.5182e-06,6.0902e-06,6.6916e-08,2.3037e-07,6.0637e-07,2.6408e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,0.00,90.00,0.00,0.00,7.5430e-08,2.5189e-07,8.0823e-07,2.6382e-06,6.5297e-06,6.5182e-06,6.0902e-06,7.1999e-08,2.3037e-07,6.0638e-07,2.6409e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,60.00,90.00,60.00,0.00,6.7077e-08,2.0919e-07,6.9142e-07,2.4617e-06,6.4136e-06,6.4021e-06,5.4950e-06,6.4438e-08,1.9074e-07,5.1200e-07,2.4750e-06,5.1512e-06,6.3101e-06,6.1001e-06
P0,0.00,135.00,60.00,0.00,4.7226e-08,2.5186e-07,8.0811e-07,2.6379e-06,6.5297e-06,6.5182e-06,6.0902e-06,4.5383e-08,2.3037e-07,6.0634e-07,2.6406e-06,5.2634e-06,6.4186e-06,6.5582e-06
P0,30.00,45.00,0.00,0.00,7.9698e-08,2.4249e-07,7.8428e-07,2.6072e-06,6.5092e-06,6.4977e-06,5.9750e-06,7.6095e-08,2.2159e-07,5.8636e-07,2.6122e-06,5.2434e-06,6.3993e-06,6.4727e-06
