Profile,VZA,VAA,SZA,SAA,fy4a_ch01_Radiance,fy4a_ch02_Radiance,fy4a_ch03_Radiance,fy4a_ch04_Radiance,fy4a_ch05_Radiance,fy4a_ch06_Radiance,fy4b_ch01_Radiance,fy4b_ch02_Radiance,fy4b_ch03_Radiance,fy4b_ch04_Radiance,fy4b_ch05_Radiance,fy4b_ch06_Radiance
P0,55.00,90.00,60.00,0.00,4.5852e-07,5.9556e-07,7.1393e-07,5.9952e-09,6.0961e-07,2.9860e-07,4.6683e-07,5.9344e-07,7.1562e-07,4.3781e-09,6.1099e-07,2.9927e-07
P0,45.00,135.00,30.00,0.00,6.7334e-07,8.6844e-07,1.0241e-06,8.0966e-09,8.3971e-07,3.9732e-07,6.8530e-07,8.6608e-07,1.0257e-06,5.4074e-09,8.4092e-07,3.9851e-07
P0,30.00,90.00,30.00,0.00,6.2455e-07,8.1793e-07,9.7123e-07,7.6568e-09,7.8753e-07,3.6816e-07,6.3552e-07,8.1553e-07,9.7258e-07,4.9890e-09,7.8854e-07,3.6922e-07
P0,45.00,90.00,30.00,0.00,6.5694e-07,8.6087e-07,1.0213e-06,7.8936e-09,8.4027e-07,3.9771e-07,6.6853e-07,8.5841e-07,1.0230e-06,5.2031e-09,8.4149e-07,3.9890e-07
P0,55.00,180.00,55.00,0.00,5.5373e-07,6.8445e-07,8.0062e-07,7.0356e-09,6.7179e-07,3.2715e-07,5.6391e-07,6.8254e-07,8.0243e-07,5.1947e-09,6.7319e-07,3.2792e-07
P0,45.00,0.00,0.00,0.00,7.2260e-07,9.4646e-07,1.1251e-06,8.7498e-09,9.1751e-07,4.3041e-07,7.3532e-07,9.4363e-07,1.1268e-06,5.7200e-09,9.1874e-07,4.3176e-07
P0,60.00,45.00,0.00,0.00,7.5523e-07,9.8717e-07,1.1805e-06,9.0457e-09,9.8454e-07,4.7155e-07,7.6870e-07,9.8393e-07,1.1828e-06,6.1644e-09,9.8625e-07,4.7267e-07
P0,30.00,0.00,30.00,0.00,6.1298e-07,8.1269e-07,9.6949e-07,7.5192e-09,7.8803e-07,3.6848e-07,6.2370e-07,8.1021e-07,9.7082e-07,4.8497e-09,7.8904e-07,3.6954e-07
P0,55.00,0.00,0.00,0.00,7.4567e-07,9.7631e-07,1.1632e-06,8.8884e-09,9.6222e-07,4.5718e-07,7.5889e-07,9.7329e-07,1.1653e-06,5.9239e-09,9.6372e-07,4.5849e-07
P0,45.00,180.00,45.00,0.00,6.0020e-07,7.5883e-07,8.8782e-07,7.2331e-09,7.3304e-07,3.5057e-07,6.1099e-07,7.5692e-07,8.8941e-07,4.9940e-09,7.3424e-07,3.5155e-07
P0,55.00,45.00,0.00,0.00,7.4567e-07,9.7631e-07,1.1632e-06,8.8884e-09,9.6222e-07,4.5718e-07,7.5889e-07,9.7329e-07,1.1653e-06,5.9239e-09,9.6372e-07,4.5849e-07
